"","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","T2M_MIN","T2M_MAX","PRECTOTCORR","RH2M","WS10M","ALLSKY_SFC_PAR_TOT"
"1",46.29,-63.12,1990,3,1,60,1990-03-01,0.49,1.51,1.22,90.12,8.41,62.1
"2",46.29,-63.12,1990,3,2,61,1990-03-02,0.41,0.82,1.66,86.38,6.3,80
"3",46.29,-63.12,1990,3,3,62,1990-03-03,0.73,1.05,9.64,94.62,9.62,27.3
"4",46.29,-63.12,1990,3,4,63,1990-03-04,0.46,1.08,6.05,97.19,8.62,46.5
"5",46.29,-63.12,1990,3,5,64,1990-03-05,-0.1,1.05,0.39,91.25,7.28,50.8
"6",46.29,-63.12,1990,3,6,65,1990-03-06,-0.81,0.69,0.57,86,3.52,47.2
"7",46.29,-63.12,1990,3,7,66,1990-03-07,0.38,1.08,0.32,85.62,3.41,39.5
"8",46.29,-63.12,1990,3,8,67,1990-03-08,-0.01,0.77,0.23,85.75,5.16,53.6
"9",46.29,-63.12,1990,3,9,68,1990-03-09,0.22,1.05,2.34,94.12,6.83,32.8
"10",46.29,-63.12,1990,3,10,69,1990-03-10,0.12,0.94,0.72,89,4.31,47.1
"11",46.29,-63.12,1990,3,11,70,1990-03-11,-0.45,0.73,0.73,83.94,6.74,22.3
"12",46.29,-63.12,1990,3,12,71,1990-03-12,-1.49,1.58,2.49,84.94,3.59,25.8
"13",46.29,-63.12,1990,3,13,72,1990-03-13,0.69,1.58,0.99,81.75,4.09,29.9
"14",46.29,-63.12,1990,3,14,73,1990-03-14,0.12,0.75,2.26,91.62,6.16,59.2
"15",46.29,-63.12,1990,3,15,74,1990-03-15,0.02,0.73,1.63,91.94,3.45,52.9
"16",46.29,-63.12,1990,3,16,75,1990-03-16,0.58,1.37,1.9,88.62,7.73,34.4
"17",46.29,-63.12,1990,3,17,76,1990-03-17,0.28,1.15,2.48,84.75,8.12,47.3
"18",46.29,-63.12,1990,3,18,77,1990-03-18,0.21,1.56,0.97,85.44,5.14,44.3
"19",46.29,-63.12,1990,3,19,78,1990-03-19,-0.92,0.59,1.5,81.5,8.35,46
"20",46.29,-63.12,1990,3,20,79,1990-03-20,-0.88,1.1,0.51,84.38,14.02,35
"21",46.29,-63.12,1990,3,21,80,1990-03-21,-1.47,0.37,1.97,80.38,7.37,49.4
"22",46.29,-63.12,1990,3,22,81,1990-03-22,-0.88,1.04,0.55,83,7.37,39.8
"23",46.29,-63.12,1990,3,23,82,1990-03-23,-2.13,-0.95,1.52,80.31,5.52,24.5
"24",46.29,-63.12,1990,3,24,83,1990-03-24,-1.45,0.58,1.72,78.56,9.06,44
"25",46.29,-63.12,1990,3,25,84,1990-03-25,-1.75,0.93,0.26,88.81,6.62,37.6
"26",46.29,-63.12,1990,3,26,85,1990-03-26,-1.14,0.64,1.27,81.81,9.63,19.3
"27",46.29,-63.12,1990,3,27,86,1990-03-27,0.23,0.98,11.28,94.94,12.59,17.9
"28",46.29,-63.12,1990,3,28,87,1990-03-28,-0.45,0.51,3,86.38,11.61,46.3
"29",46.29,-63.12,1990,3,29,88,1990-03-29,0.1,0.58,3.76,94.69,10.11,26
"30",46.29,-63.12,1990,3,30,89,1990-03-30,-0.06,0.44,0.5,81.06,8.28,38.4
"31",46.29,-63.12,1990,3,31,90,1990-03-31,-0.09,0.61,5.55,87.56,10.12,31.2
"32",46.29,-63.12,1990,4,1,91,1990-04-01,-2.17,0.58,3.68,89.25,11.85,27.2
"33",46.29,-63.12,1990,4,2,92,1990-04-02,-2.82,-1.4,2.81,83.19,9.63,27.1
"34",46.29,-63.12,1990,4,3,93,1990-04-03,-3.67,-1.51,0.88,76.06,10.59,1.5
"35",46.29,-63.12,1990,4,4,94,1990-04-04,-3.09,-1.34,0.1,70.62,9.77,27.4
"36",46.29,-63.12,1990,4,5,95,1990-04-05,-2.88,-1.8,0,65.12,5.75,28
"37",46.29,-63.12,1990,4,6,96,1990-04-06,-2.56,-1.71,0.25,76.06,5.51,19.4
"38",46.29,-63.12,1990,4,7,97,1990-04-07,-2.49,0.48,7.69,86.38,14.18,18
"39",46.29,-63.12,1990,4,8,98,1990-04-08,-1.77,0.84,0.93,83.75,11.38,21.8
"40",46.29,-63.12,1990,4,9,99,1990-04-09,-0.01,0.55,11.27,90.81,10.64,19.6
"41",46.29,-63.12,1990,4,10,100,1990-04-10,-0.63,0.5,0.26,79.38,8.98,20.2
"42",46.29,-63.12,1990,4,11,101,1990-04-11,-3.63,-0.73,2.3,84.94,10.9,19.5
"43",46.29,-63.12,1990,4,12,102,1990-04-12,-4.46,-1.74,1.68,79.56,8.69,19.2
"44",46.29,-63.12,1990,4,13,103,1990-04-13,-2.27,-1.62,1.4,78.88,10.59,16.7
"45",46.29,-63.12,1990,4,14,104,1990-04-14,-1.43,0.62,15.69,88.88,8.78,8.6
"46",46.29,-63.12,1990,4,15,105,1990-04-15,-0.26,0.69,2.13,86.62,11.95,26.4
"47",46.29,-63.12,1990,4,16,106,1990-04-16,-0.9,0.27,14.06,96.69,7.7,11.2
"48",46.29,-63.12,1990,4,17,107,1990-04-17,-2.2,-0.24,3.26,87,13.72,14.9
"49",46.29,-63.12,1990,4,18,108,1990-04-18,-1.49,-0.14,1.66,86.44,7.9,15.8
"50",46.29,-63.12,1990,4,19,109,1990-04-19,-2.65,-1.19,3.53,84.69,7.2,13
"51",46.29,-63.12,1990,4,20,110,1990-04-20,-3.63,-1.4,0.82,74.62,7,15.4
"52",46.29,-63.12,1990,4,21,111,1990-04-21,-1.53,0.36,6.34,92.31,9.59,12.7
"53",46.29,-63.12,1990,4,22,112,1990-04-22,-0.64,0.01,2.26,92.44,10.4,17.6
"54",46.29,-63.12,1990,4,23,113,1990-04-23,-1.85,-0.17,1.55,88.25,11,11.9
"55",46.29,-63.12,1990,4,24,114,1990-04-24,-2.67,-0.82,0.67,78.69,5.88,14.6
"56",46.29,-63.12,1990,4,25,115,1990-04-25,-5.5,-2.43,0.83,78.38,7.63,9.9
"57",46.29,-63.12,1990,4,26,116,1990-04-26,-5.51,-2.14,0.3,75.5,6.7,9.7
"58",46.29,-63.12,1990,4,27,117,1990-04-27,-4.6,-2.21,1.23,84.69,7.05,9.2
