"","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","T2M_MIN","T2M_MAX","PRECTOTCORR","RH2M","WS10M","ALLSKY_SFC_PAR_TOT"
"1",46.41,-63.35,1990,3,1,60,1990-03-01,-0.17,1.32,1.97,91.44,6.36,62.1
"2",46.41,-63.35,1990,3,2,61,1990-03-02,0.12,0.78,1.88,85.06,5.99,80
"3",46.41,-63.35,1990,3,3,62,1990-03-03,0.68,1.05,8.66,94.12,9.12,27.3
"4",46.41,-63.35,1990,3,4,63,1990-03-04,0.47,0.83,7.21,97.06,9.1,46.5
"5",46.41,-63.35,1990,3,5,64,1990-03-05,-0.42,0.98,0.74,90,6.81,50.8
"6",46.41,-63.35,1990,3,6,65,1990-03-06,-0.63,0.57,0.75,84.81,4.31,47.2
"7",46.41,-63.35,1990,3,7,66,1990-03-07,0.12,0.77,0.36,84.19,2.99,39.5
"8",46.41,-63.35,1990,3,8,67,1990-03-08,-0.65,0.53,0.2,86.31,4.67,53.6
"9",46.41,-63.35,1990,3,9,68,1990-03-09,-0.13,0.83,2.82,94.38,6.41,32.8
"10",46.41,-63.35,1990,3,10,69,1990-03-10,-0.06,0.85,0.67,88.56,3.94,47.1
"11",46.41,-63.35,1990,3,11,70,1990-03-11,-0.44,0.7,0.74,83.38,6.85,22.3
"12",46.41,-63.35,1990,3,12,71,1990-03-12,-1.35,1.53,1.89,82.56,3.2,25.8
"13",46.41,-63.35,1990,3,13,72,1990-03-13,0.55,1.54,0.67,72.88,3.72,29.9
"14",46.41,-63.35,1990,3,14,73,1990-03-14,-0.19,0.71,2.3,91.06,5.98,59.2
"15",46.41,-63.35,1990,3,15,74,1990-03-15,-0.08,0.68,1.26,92.31,3.77,52.9
"16",46.41,-63.35,1990,3,16,75,1990-03-16,0.37,1.17,2.37,89.06,7.15,34.4
"17",46.41,-63.35,1990,3,17,76,1990-03-17,-0.12,0.96,2.98,85.19,7.6,47.3
