"","Year","Month","Day","Max.Temp..Â.C.","Min.Temp..Â.C.","Total.Precip..mm."
"17227",1990,3,1,-7.6,-18.9,0.2
"17228",1990,3,2,4,-7.6,0
"17229",1990,3,3,4.1,-6.2,0
"17230",1990,3,4,-6.1,-10.9,0.4
"17231",1990,3,5,-8.4,-17.6,1.2
"17232",1990,3,6,-9.7,-21.1,0
"17233",1990,3,7,-12,-18.3,0
"17234",1990,3,8,-4.4,-17.4,0.2
"17235",1990,3,9,-1.9,-8.2,0
"17236",1990,3,10,4.5,-4.3,0
"17237",1990,3,11,5.3,-0.9,5.2
"17238",1990,3,12,2.6,-6.6,0
"17239",1990,3,13,1.1,-10.3,0
"17240",1990,3,14,-5.8,-10.5,1
"17241",1990,3,15,-0.2,-7.6,4
"17242",1990,3,16,2.6,-2.2,0.2
"17243",1990,3,17,11,1,0
"17244",1990,3,18,9.8,1.1,11.6
"17245",1990,3,19,5.3,-0.6,0
"17246",1990,3,20,6.8,-3.2,3
"17247",1990,3,21,1.5,-1.5,17.6
"17248",1990,3,22,0.1,-3.9,0
"17249",1990,3,23,9.8,-6,7.9
"17250",1990,3,24,-3,-9.5,0
"17251",1990,3,25,2.5,-6.1,0
"17252",1990,3,26,4.7,-7.8,0.4
"17253",1990,3,27,-7.5,-12.1,0
"17254",1990,3,28,-0.9,-12,1.8
"17255",1990,3,29,-5,-12.5,0
"17256",1990,3,30,2.4,-11,0
"17257",1990,3,31,1.4,-3.6,1.3
"17258",1990,4,1,2.9,-1.4,6.4
"17259",1990,4,2,4.1,-0.1,9.8
"17260",1990,4,3,9.4,1.9,1.8
"17261",1990,4,4,10.7,3.9,8.2
"17262",1990,4,5,9.7,2.7,0
"17263",1990,4,6,7.8,1.4,0.2
"17264",1990,4,7,2.2,-3.4,15
"17265",1990,4,8,0.6,-4.2,1
"17266",1990,4,9,4.7,-5.8,0
"17267",1990,4,10,3.6,-0.1,9.4
"17268",1990,4,11,7.5,-0.8,21.2
"17269",1990,4,12,1.9,-2.1,0
"17270",1990,4,13,3.8,-2.2,0
"17271",1990,4,14,9.5,-1.6,0
"17272",1990,4,15,9.6,0.4,0.6
"17273",1990,4,16,14.6,3.1,15.8
"17274",1990,4,17,13.6,-1.6,10
"17275",1990,4,18,6.1,-3.1,3.1
"17276",1990,4,19,6.6,-4,0
"17277",1990,4,20,14,1.1,0
"17278",1990,4,21,6.6,3.1,13.2
"17279",1990,4,22,3.5,-0.1,0.2
"17280",1990,4,23,1.3,-0.1,1.6
"17281",1990,4,24,0.8,-2.6,0
"17282",1990,4,25,3.3,-2.7,0
"17283",1990,4,26,11,-0.8,0
"17284",1990,4,27,19,4,1
"17285",1990,4,28,4,-3.2,0
"17286",1990,4,29,8.7,-4.7,0
"17287",1990,4,30,14.5,2.9,0
"17288",1990,5,1,19.7,4.7,0
"17289",1990,5,2,15.7,3.3,0.4
"17290",1990,5,3,11.9,-0.7,0
"17291",1990,5,4,9.8,-1.7,0
"17292",1990,5,5,14.3,0.3,7.8
"17293",1990,5,6,0.6,-0.1,19.8
"17294",1990,5,7,10.1,0.2,2
"17295",1990,5,8,13.4,1.4,14.4
"17296",1990,5,9,14.5,3.3,0.4
"17297",1990,5,10,13.7,6.9,0
"17298",1990,5,11,17.5,7.3,2.2
"17299",1990,5,12,13.3,4.5,0
"17300",1990,5,13,16.5,5,10.3
"17301",1990,5,14,10.5,2.3,38.1
"17302",1990,5,15,6,1.1,0
"17303",1990,5,16,9.3,3.5,5.4
"17304",1990,5,17,8.2,2.5,0.2
"17305",1990,5,18,4.2,2,5.6
