"","Missing.Precip.Start","Missing.Precip.Data.Count","Missing.Max.Temp.Data.Start","Missing.Max.Temp.Data.Count","Missing.Min.Temp.Data.Start","Missing.Min.Temp.Data.Count"
"1","2012-05-01",136,"2012-05-01",136,"2012-05-01",136
"2","2012-09-21",1,"2012-09-21",1,"2012-09-21",1
"3","2012-10-05",1,"2012-10-05",1,"2012-10-05",1
"4","2012-10-11",1,"2012-10-11",1,"2012-10-11",1
"5","2012-10-14",1,"2012-10-14",1,"2012-10-14",1
"6","2012-10-29",1,"2012-10-29",1,"2012-10-29",1
"7","2013-05-19",1,"2013-05-19",1,"2013-05-19",1
"8","2013-06-08",1,"2013-06-08",1,"2013-06-08",1
"9","2013-06-30",1,"2013-06-30",1,"2013-06-30",1
"10","2013-07-28",1,"2013-07-28",1,"2013-07-28",1
"11","2013-08-31",1,"2013-08-31",1,"2013-08-31",1
"12","2013-10-01",1,"2013-10-01",1,"2013-10-01",1
"13","2013-10-25",1,"2013-10-25",1,"2013-10-25",1
"14","2014-07-15",1,"2018-09-13",1,"2018-05-17",1
"15","2014-07-19",1,"2018-09-21",1,"2018-07-14",1
"16","2014-08-03",1,"2019-06-13",1,"2019-06-13",1
"17","2014-10-20",1,"2019-06-17",3,"2019-06-17",3
"18","2015-05-25",2,"2019-07-04",2,"2019-07-04",2
"19","2015-06-29",3,"2019-08-25",2,"2019-08-25",2
"20","2015-07-23",1,"2019-09-09",1,"2019-09-09",1
"21","2015-08-17",1,"2019-09-14",1,"2019-09-14",1
"22","2016-07-13",1,"2019-09-22",1,"2019-09-22",1
"23","2018-07-06",1,"2019-10-02",1,"2019-10-02",1
"24","2019-07-04",2,"2019-10-12",1,"2019-10-12",1
"25","2019-08-25",2,"2020-05-16",1,"2020-05-16",1
"26","2020-05-14",96,"2020-07-24",1,"2020-07-24",1
"27","2020-10-22",1,"2020-08-18",1,"2020-08-18",1
"28","2021-05-01",184,"2021-05-01",184,"2021-05-01",184
