"","Missing.Precip.Start","Missing.Precip.Data.Count","Missing.Max.Temp.Data.Start","Missing.Max.Temp.Data.Count","Missing.Min.Temp.Data.Start","Missing.Min.Temp.Data.Count"
"1","1971-05-01",153,"1971-05-01",153,"1971-05-01",153
"2","1976-07-01",31,"1976-07-01",31,"1976-07-01",31
"3","1977-08-01",31,"1977-08-01",31,"1977-08-01",31
"4","2003-09-30",1,"2006-06-01",61,"2006-06-01",61
"5","2006-06-01",61,"2007-05-28",1,"2007-05-28",1
"6","2007-05-28",1,"2007-06-05",1,"2007-06-05",1
"7","2007-06-05",1,"2007-08-09",1,"2007-08-09",1
"8","2007-08-09",1,"2007-08-12",2,"2007-08-12",2
"9","2007-08-12",2,"2007-09-26",1,"2007-09-26",1
"10","2007-09-26",1,"2007-10-29",2,"2007-10-29",2
"11","2007-10-29",2,"2008-06-29",1,"2008-06-29",1
"12","2008-06-29",1,"2008-07-16",2,"2008-07-16",2
"13","2008-07-16",2,"2008-07-31",2,"2008-07-31",2
"14","2008-07-31",2,"2008-10-22",1,"2008-10-22",1
"15","2008-10-22",1,"2009-05-31",2,"2009-05-31",2
"16","2009-05-31",2,"2009-06-15",1,"2009-06-15",1
"17","2009-06-15",1,"2009-07-05",2,"2009-07-05",2
"18","2009-07-05",2,"2010-05-02",1,"2010-05-02",1
"19","2010-05-02",1,"2011-05-09",2,"2011-05-09",2
"20","2011-05-09",2,"2011-10-30",1,"2011-10-30",1
"21","2011-10-30",1,"2013-09-13",2,"2013-09-13",2
"22","2013-09-13",2,"2014-09-02",1,"2014-09-02",1
"23","2014-09-02",1,"2016-05-08",1,"2016-05-08",1
"24","2016-05-08",1,"2016-05-10",2,"2016-05-10",2
"25","2016-05-10",2,"2017-07-31",1,"2017-07-31",1
"26","2017-07-31",1,"2018-07-28",12,"2018-07-28",12
"27","2018-07-28",12,"2018-08-12",4,"2018-08-12",6
"28","2018-08-12",4,"2018-08-19",3,"2018-08-19",17
"29","2018-08-19",3,"2018-08-23",6,"2019-05-24",1
"30","2018-08-23",6,"2018-08-31",5,"2019-06-01",1
"31","2018-08-31",5,"2019-05-24",1,"2019-10-09",2
"32","2019-05-24",1,"2019-06-01",1,"2021-05-01",184
"33","2019-06-01",1,"2019-10-09",2,NA,NA
"34","2019-10-09",2,"2021-05-01",184,NA,NA
"35","2021-05-01",184,NA,NA,NA,NA
