"","Year","Month","Day","Max.Temp..Â.C.","Min.Temp..Â.C.","Total.Precip..mm."
"7000",1990,3,1,-1.5,-20,0
"7001",1990,3,2,4.5,-13,0
"7002",1990,3,3,3.5,-3.5,0
"7003",1990,3,4,-5.5,-9.5,4
"7004",1990,3,5,-7,-13.5,0
"7005",1990,3,6,-9,-22,0
"7006",1990,3,7,-11,-23,0
"7007",1990,3,8,-3.5,-17,0
"7008",1990,3,9,-0.5,-5.5,0
"7009",1990,3,10,7,-6,1
"7010",1990,3,11,6.5,1,1
"7011",1990,3,12,3.5,-1.5,0
"7012",1990,3,13,1.5,-3,0
"7013",1990,3,14,-4.5,-11,6
"7014",1990,3,15,0,-7.5,0
"7015",1990,3,16,3.5,-1.5,0
"7016",1990,3,17,12,1.5,1
"7017",1990,3,18,8,4.5,10
"7018",1990,3,19,6.5,0.5,0
"7019",1990,3,20,5,-3,6
"7020",1990,3,21,0.5,-0.5,18.8
"7021",1990,3,22,4.5,-3.5,0
"7022",1990,3,23,11.5,-3.5,17
"7023",1990,3,24,-2.5,-9.5,0
"7024",1990,3,25,3,-7,0
"7025",1990,3,26,5,-3,2
"7026",1990,3,27,-7.5,-11.5,0
"7027",1990,3,28,0,-13.5,5
"7028",1990,3,29,-1,-13,0
"7029",1990,3,30,1,-11,0
"7030",1990,3,31,1,-4,0
"7031",1990,4,1,3.5,-1,10.6
"7032",1990,4,2,5.5,0.5,3
"7033",1990,4,3,8,2,3
"7034",1990,4,4,11.5,4,6.8
"7035",1990,4,5,9,3,0
"7036",1990,4,6,8,1,0
"7037",1990,4,7,1.5,-1,12
"7038",1990,4,8,1.5,-4.5,0
"7039",1990,4,9,5.5,-5.5,0
"7040",1990,4,10,4,-0.5,4
"7041",1990,4,11,7,-1,20.1
"7042",1990,4,12,2,-1.5,0
"7043",1990,4,13,4,-2,0
"7044",1990,4,14,10,-2,0
"7045",1990,4,15,10.5,1,17.4
"7046",1990,4,16,15,5.5,2.4
"7047",1990,4,17,15,-2,12.6
"7048",1990,4,18,5.5,1,0
"7049",1990,4,19,7,-6,0
"7050",1990,4,20,14,2,1.6
"7051",1990,4,21,7.5,5,11.6
"7052",1990,4,22,2,1,0
"7053",1990,4,23,1.5,0,0
"7054",1990,4,24,0.5,-1,0
"7055",1990,4,25,3,-2,0
"7056",1990,4,26,11,-2,1
"7057",1990,4,27,21,1,0.6
"7058",1990,4,28,2.5,0,0
"7059",1990,4,29,6,-5.5,0
"7060",1990,4,30,17,0.5,0
"7061",1990,5,1,22,8,0.2
"7062",1990,5,2,17,10,0
"7063",1990,5,3,11.5,2.5,0
"7064",1990,5,4,9.5,-2.5,0
"7065",1990,5,5,14.5,2,16
"7066",1990,5,6,1.5,-0.5,11
"7067",1990,5,7,10,0,0
"7068",1990,5,8,13.5,1.5,0
"7069",1990,5,9,17,6,1.2
"7070",1990,5,10,13.5,5,0
"7071",1990,5,11,19.5,5.5,4.6
"7072",1990,5,12,13,6,0
"7073",1990,5,13,17.5,1.5,17.4
"7074",1990,5,14,8.5,5.5,32.6
"7075",1990,5,15,5.5,1,0.8
"7076",1990,5,16,10,2.5,2
"7077",1990,5,17,8.5,2.5,0
"7078",1990,5,18,4.5,2.5,8
"7079",1990,5,19,8,3,1.8
"7080",1990,5,20,3,2.5,3.4
"7081",1990,5,21,3,1,0.4
"7082",1990,5,22,4,2.5,22.2
"7083",1990,5,23,3.5,2.5,11.4
"7084",1990,5,24,5.5,2,0
"7085",1990,5,25,7.5,2,0
"7086",1990,5,26,18.5,0.5,0
"7087",1990,5,27,15.5,0,0
"7088",1990,5,28,25.5,3,0
"7089",1990,5,29,23,8,24
"7090",1990,5,30,8,5,57.4
"7091",1990,5,31,11,3,0
"7092",1990,6,1,19.5,0,0
"7093",1990,6,2,26.5,12,0
"7094",1990,6,3,26.5,14,0
"7095",1990,6,4,18,12,14.5
"7096",1990,6,5,18.5,8,0
"7097",1990,6,6,18,8,0
"7098",1990,6,7,19.5,8.5,0
"7099",1990,6,8,17,8,0
"7100",1990,6,9,23.5,9,0
"7101",1990,6,10,13,9,0
"7102",1990,6,11,13,6.5,0
"7103",1990,6,12,16.5,7,0
"7104",1990,6,13,26,8.5,0
"7105",1990,6,14,25.5,8.5,0
"7106",1990,6,15,26.5,13.5,0
"7107",1990,6,16,27,16,0
"7108",1990,6,17,27,16,0
"7109",1990,6,18,26,18,0
"7110",1990,6,19,26,18,8
"7111",1990,6,20,12,10,0.6
"7112",1990,6,21,13,10,18.4
"7113",1990,6,22,14,10,7
"7114",1990,6,23,17,11,4.4
"7115",1990,6,24,17.5,11,0.6
"7116",1990,6,25,26,10.5,0
"7117",1990,6,26,26.5,13,0
"7118",1990,6,27,26.5,17,0
"7119",1990,6,28,22.5,16.5,0.8
"7120",1990,6,29,23,9.5,0
"7121",1990,6,30,23,14.5,0
"7122",1990,7,1,18.5,7.5,0
"7123",1990,7,2,19,6.5,0
"7124",1990,7,3,23,5,10.4
"7125",1990,7,4,20,14.5,0
"7126",1990,7,5,19,11,0
"7127",1990,7,6,16.5,8,0
"7128",1990,7,7,19,10,0
"7129",1990,7,8,21,7,0
"7130",1990,7,9,17.5,10.5,5.4
"7131",1990,7,10,25.5,14,2.8
"7132",1990,7,11,21,12,0
"7133",1990,7,12,22.5,10,0
"7134",1990,7,13,22.5,9,0
"7135",1990,7,14,27.5,14.5,0
"7136",1990,7,15,28.5,16,0
"7137",1990,7,16,30.5,17,0
"7138",1990,7,17,28,18,0
"7139",1990,7,18,28.5,16.5,0
"7140",1990,7,19,29,17,0
"7141",1990,7,20,25.5,17,0
"7142",1990,7,21,25.5,17.5,0
"7143",1990,7,22,25,11,0
"7144",1990,7,23,21.5,13,21
"7145",1990,7,24,29,17,8
"7146",1990,7,25,29,21,8.2
"7147",1990,7,26,25,21.5,5.6
"7148",1990,7,27,25.5,19,0
"7149",1990,7,28,23,17.5,0
"7150",1990,7,29,30.5,15,0
"7151",1990,7,30,30.5,18,0
"7152",1990,7,31,23,17,4
