    year  value
    1990 0.9391
    1991 0.9132
    1992 0.9134
    1993 0.9238
    1994 0.9478
    1995 0.9368
    1996 0.9395
    1997 0.9279
    1998 0.9342
    1999 0.9126
    2000 0.9426
    2001 0.9325
    2002 0.9262
    2003 0.9360
    2004 0.9206
    2005 0.9347
    2006 0.8835
    2007 0.9378
    2008 0.9390
    2009 0.9374
    2010 0.9455
    2011 0.9270
    2012 0.9446
    2013 0.9339
    2014 0.9254
    2015 0.9058
    2016 0.9343
    2017 0.9162
    2018 0.9149
    2019 0.9202
 overall 0.9707
