    year  value
    1990 0.8830
    1991 0.8514
    1992 0.8637
    1993 0.8208
    1994 0.8539
    1995 0.8276
    1996 0.8469
    1997 0.8655
    1998 0.8636
    1999 0.8767
    2000 0.8702
    2001 0.8460
    2002 0.8764
    2003 0.8901
    2004 0.8639
    2005 0.8715
    2006 0.7350
    2007 0.8635
    2008 0.8847
    2009 0.8897
    2010 0.8320
    2011 0.8597
    2012 0.8625
    2013 0.8719
    2014 0.8634
    2015 0.8888
    2016 0.8428
    2017 0.7977
    2018 0.8434
    2019 0.8524
 overall 0.9533
