    year  value
    1990 0.8232
    1991 0.5678
    1992 0.8241
    1993 0.6441
    1994 0.7290
    1995 0.4051
    1996 0.6955
    1997 0.7735
    1998 0.7119
    1999 0.7634
    2000 0.6096
    2001 0.8212
    2002 0.5650
    2003 0.6688
    2004 0.8111
    2005 0.7676
    2006 0.5978
    2007 0.7242
    2008 0.8457
    2009 0.6208
    2010 0.6719
    2011 0.7500
    2012 0.6244
    2013 0.6063
    2014 0.4464
    2015 0.6791
    2016 0.7007
    2017 0.5669
    2018 0.5123
    2019 0.8117
 overall 0.6862
